,Job Titles,Department,Full or Part-Time,Salary or Hourly,Typical Hours,Annual Salary,Hourly Rate
318,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,103932.0,
319,POLICE OFFICER,POLICE,F,Salary,,90024.0,
320,POLICE OFFICER,POLICE,F,Salary,,84054.0,
321,POLICE OFFICER,POLICE,F,Salary,,90024.0,
322,POLICE OFFICER,POLICE,F,Salary,,90024.0,
323,ADMINISTRATIVE ASST III,FIRE,F,Salary,,76584.0,
324,PUBLIC HEALTH NURSE I,HEALTH,F,Salary,,97320.0,
325,LOAN PROCESSING OFFICER,HOUSING,F,Salary,,84024.0,
326,POLICE OFFICER,POLICE,F,Salary,,87006.0,
327,POLICE OFFICER,POLICE,F,Salary,,72510.0,
328,POLICE OFFICER,POLICE,F,Salary,,80016.0,
329,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
330,PUBLIC HEALTH NUTRITIONIST III,HEALTH,F,Salary,,72840.0,
331,LIBRARY ASSOCIATE,PUBLIC LIBRARY,F,Salary,,51060.0,
332,FIREFIGHTER-EMT,FIRE,F,Salary,,92274.0,
333,COORDINATING FIRE COMMUNICATIONS OPERATOR,OEMC,F,Salary,,126672.0,
334,POLICE OFFICER,POLICE,F,Salary,,48078.0,
335,MOTOR TRUCK DRIVER,STREETS & SAN,F,Hourly,40.0,,36.45
336,POLICE OFFICER (ASSIGNED AS DETECTIVE),POLICE,F,Salary,,91080.0,
337,FIREFIGHTER/PARAMEDIC,FIRE,F,Salary,,82812.0,
338,SHEET METAL WORKER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,44.25
339,POLICE OFFICER,POLICE,F,Salary,,80016.0,
340,MACHINIST (AUTOMOTIVE),FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,48.38
341,POLICE OFFICER / FLD TRNG OFFICER,POLICE,F,Salary,,91338.0,
342,POLICE OFFICER,POLICE,F,Salary,,48078.0,
343,FIRE ENGINEER-EMT,FIRE,F,Salary,,107106.0,
344,TITLE V PROGRAM TRAINEE I,FAMILY & SUPPORT,P,Hourly,20.0,,8.25
345,DEPUTY COMMISSIONER,DISABILITIES,F,Salary,,104712.0,
346,POLICE OFFICER,POLICE,F,Salary,,90024.0,
347,CONSTRUCTION LABORER,WATER MGMNT,F,Hourly,40.0,,42.72
348,SANITATION LABORER,STREETS & SAN,F,Hourly,40.0,,37.76
349,CROSSING GUARD - PER CBA,OEMC,P,Hourly,20.0,,15.94
350,EQUIPMENT DISPATCHER,FLEET & FACILITY MANAGEMENT,F,Hourly,40.0,,37.09
351,STREET LIGHT REPAIR WORKER,TRANSPORTN,F,Salary,,107952.0,
352,ASST CORPORATION COUNSEL SUPVSR,LAW,F,Salary,,93960.0,
353,POLICE OFFICER,POLICE,F,Salary,,72510.0,
354,POLICE OFFICER,POLICE,F,Salary,,48078.0,
355,POLICE OFFICER,POLICE,F,Salary,,76266.0,
356,FIREFIGHTER-EMT,FIRE,F,Salary,,89148.0,
